DiaChi,NgayCap,TenHinhThuc
Quận 5,2014-03-21 00:00:00,PK đa khoa
Tân Bình,2015-09-23 00:00:00,PK Nội tổng hợp
Bình Tân,2014-09-23 00:00:00,PK Nội tổng hợp
Gò Vấp,2014-03-18 00:00:00,PKCK Răng Hàm Mặt
Gò Vấp,2013-12-03 00:00:00,PK Nội tổng hợp
Quận 10,2015-06-10 00:00:00,Phòng xét nghiệm
Quận 10,2015-10-09 00:00:00,PKCK Phẫu thuật thẩm mỹ
TP. Thủ Đức,2015-08-04 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2015-07-07 00:00:00,PKCK Răng Hàm Mặt
TP. Thủ Đức,2014-09-23 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2014-05-06 00:00:00,PKCK Sản phụ khoa
Quận 11,2015-01-14 00:00:00,PKCK Ngoại
Bình Chánh,2014-05-08 00:00:00,PK Nội tổng hợp
Quận 10,2015-02-06 00:00:00,PKCK Da liễu
Gò Vấp,2014-04-17 00:00:00,PKCK Da liễu
Gò Vấp,2013-12-13 00:00:00,PK Nội tổng hợp
Quận 5,2014-10-27 00:00:00,PKCK Răng Hàm Mặt
Quận 12,2014-10-22 00:00:00,PKCK Sản phụ khoa
Quận 10,2014-05-08 00:00:00,PKCK Ngoại lồng ngực
Quận 10,2016-12-01 00:00:00,PKCK Chấn thương chỉnh hình 
Quận 8,2013-11-05 00:00:00,PK Nội tổng hợp
Tân Bình,2013-10-09 00:00:00,PKCK Phẫu thuật thẩm mỹ
Quận 5,2014-05-06 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2015-05-28 00:00:00,PKCK Da liễu
Gò Vấp,2013-12-11 00:00:00,PK Nội tổng hợp
Quận 12,2015-07-24 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2014-05-06 00:00:00,PK Nội tổng hợp
Tân Bình,2013-12-11 00:00:00,PK Nội tổng hợp
Tân Phú,2014-10-23 00:00:00,PKCK Nội thần kinh
Quận 11,2015-12-02 00:00:00,PK Nội tổng hợp
Quận 5,2014-05-06 00:00:00,PKCK Nội tiết
Tân Bình,2014-09-23 00:00:00,PK Nội tổng hợp
Tân Bình,2013-12-11 00:00:00,PK Nội tổng hợp
Quận 3,2014-03-18 00:00:00,PKCK Mắt
Củ Chi,2015-04-15 00:00:00,PKCK Răng Hàm Mặt
TP. Thủ Đức,2014-07-14 00:00:00,PK Nội tổng hợp
Hóc Môn,2017-05-24 00:00:00,PK Nội tổng hợp
Tân Phú,2014-08-13 00:00:00,PK Nội tổng hợp
Tân Phú,2015-12-02 00:00:00,PKCK Nội thần kinh
Phú Nhuận,2015-08-20 00:00:00,PK Nội tổng hợp
Gò Vấp,2015-10-29 00:00:00,PKCK Răng Hàm Mặt
Gò Vấp,2015-12-18 00:00:00,Trạm y tế phường xã 
Quận 10,2014-06-17 00:00:00,PKCK Tai Mũi Họng
Quận 10,2015-12-24 00:00:00,Trạm y tế phường xã 
Gò Vấp,2014-10-30 00:00:00,PKCK Răng Hàm Mặt
Bình Tân,2014-11-26 00:00:00,PKCK Ngoại thần kinh
Quận 3,2014-02-12 00:00:00,PK Nội tổng hợp
Quận 3,2013-08-08 00:00:00,PK Nội tổng hợp
Tân Phú,2015-10-23 00:00:00,PK Chẩn đoán hình ảnh
Tân Phú,2014-10-30 00:00:00,PKCK Nội thần kinh
Bình Tân,2014-02-12 00:00:00,PK Nội tổng hợp
Bình Thạnh,2017-04-14 00:00:00,PKCK Răng Hàm Mặt
TP. Thủ Đức,2014-04-24 00:00:00,PKCK Sản phụ khoa
Củ Chi,2013-12-06 00:00:00,PK Nội tổng hợp
Quận 10,2015-03-04 00:00:00,PK Nội tổng hợp
Bình Thạnh,2014-05-05 00:00:00,PKCK Ngoại thần kinh
Quận 10,2014-12-19 00:00:00,PK Nội tổng hợp
Quận 8,2016-07-05 00:00:00,PKCK Chấn thương chỉnh hình 
Quận 10,2015-04-15 00:00:00,PKCK Chấn thương chỉnh hình 
Quận 11,2014-05-06 00:00:00,PKCK Chấn thương chỉnh hình 
Quận 1,2013-04-17 00:00:00,PK Nội tổng hợp
Tân Phú,2014-10-24 00:00:00,PKCK Răng Hàm Mặt
Quận 10,2015-12-24 00:00:00,Trạm y tế phường xã 
Quận 10,2013-11-05 00:00:00,PKCK Răng Hàm Mặt
Bình Tân,2013-12-06 00:00:00,PK Nội tổng hợp
Củ Chi,2015-03-04 00:00:00,Phòng chẩn trị y học cổ truyền
Bình Thạnh,2015-08-20 00:00:00,PKCK Chấn thương chỉnh hình 
Nhà Bè,2014-10-31 00:00:00,PKCK Răng Hàm Mặt
Phú Nhuận,2014-04-24 00:00:00,PKCK Nhi
Quận 1,2014-05-08 00:00:00,PKCK Tai Mũi Họng
Quận 4,2014-03-24 00:00:00,PKCK Nhi
Bình Thạnh,2013-12-16 00:00:00,PKCK Da liễu
Gò Vấp,2014-04-22 00:00:00,PKCK Sản phụ khoa
Quận 12,2015-06-15 00:00:00,PK Nội tổng hợp
Bình Tân,2017-05-08 00:00:00,PK Nội tổng hợp
Quận 11,2014-02-13 00:00:00,PK Nội tổng hợp
Quận 11,2014-05-06 00:00:00,PKCK Răng Hàm Mặt
Gò Vấp,2014-05-08 00:00:00,PKCK Nhi
Quận 5,2015-05-06 00:00:00,PKCK Nhi
Quận 8,2017-08-17 00:00:00,PKCK Nhi
Quận 8,2014-03-24 00:00:00,PKCK Nhi
Quận 5,2014-04-22 00:00:00,PK Nội tổng hợp
Quận 5,2014-05-06 00:00:00,PKCK Răng Hàm Mặt
Củ Chi,2015-01-15 00:00:00,PKCK Sản phụ khoa
Tân Phú,2016-09-12 00:00:00,PKCK Tai Mũi Họng
Quận 5,2014-02-12 00:00:00,PK Nội tổng hợp
Bình Thạnh,2015-09-07 00:00:00,PKCK Tâm thần
Quận 10,2015-08-20 00:00:00,PKCK Tâm thần
Quận 1,2014-04-17 00:00:00,PKCK Nhi
Nhà Bè,2014-04-22 00:00:00,PKCK Ngoại nhi
Quận 12,2013-12-03 00:00:00,PKCK Nhi
Quận 6,2014-02-11 00:00:00,PKCK Nhi
Tân Bình,2014-05-30 00:00:00,PKCK Răng Hàm Mặt
Quận 12,2014-11-10 00:00:00,"Cơ sở dịch vụ tiêm (chích), thay băng, đếm mạch, đo nhiệt độ, đo huyết áp"
Quận 10,2014-03-20 00:00:00,PKCK Tai Mũi Họng
Phú Nhuận,2014-03-19 00:00:00,PKCK Nhi
Quận 10,2013-12-17 00:00:00,PKCK Nhi
Quận 1,2013-12-20 00:00:00,PKCK Nhi
Bình Thạnh,2014-04-17 00:00:00,PKCK Tâm thần
Quận 5,2014-02-12 00:00:00,PKCK Sản phụ khoa
Quận 1,2014-10-22 00:00:00,Bệnh viện đa khoa
Tân Phú,2013-12-03 00:00:00,PKCK Răng Hàm Mặt
Quận 6,2014-04-18 00:00:00,PKCK Nhi
Tân Phú,2014-02-20 00:00:00,PKCK Nhi
Quận 10,2014-08-13 00:00:00,PKCK Nhi
Quận 12,2014-11-10 00:00:00,PK Nội tổng hợp
Quận 1,2014-05-19 00:00:00,Bệnh viện chuyên khoa
Nhà Bè,2015-12-16 00:00:00,PKCK Tai Mũi Họng
Quận 11,2015-08-04 00:00:00,PKCK Lao và bệnh phổi
Gò Vấp,2015-12-18 00:00:00,Trạm y tế phường xã 
Quận 4,2014-04-17 00:00:00,PKCK Nhi
Quận 4,2014-10-24 00:00:00,PKCK Răng Hàm Mặt
Bình Thạnh,2013-11-05 00:00:00,PKCK Nhi
Quận 12,2014-11-10 00:00:00,PKCK Nhi
Bình Thạnh,2014-04-17 00:00:00,PKCK Nhi
Phú Nhuận,2014-02-13 00:00:00,PKCK Tai Mũi Họng
Quận 3,2014-09-24 00:00:00,PK Nội tổng hợp
Quận 12,2014-01-22 00:00:00,PKCK Răng Hàm Mặt
Hóc Môn,2015-12-18 00:00:00,PK Nội tổng hợp
Quận 4,2014-06-09 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2015-11-16 00:00:00,PK Nội tổng hợp
Bình Thạnh,2014-03-24 00:00:00,PK Nội tổng hợp
Quận 11,2015-03-04 00:00:00,PKCK Răng Hàm Mặt
Bình Thạnh,2014-05-06 00:00:00,PKCK Nhi
Quận 10,2015-08-20 00:00:00,PKCK Nhi
Quận 8,2014-02-20 00:00:00,PKCK Sản phụ khoa
Quận 4,2014-10-27 00:00:00,PKCK Sản phụ khoa
Bình Tân,2015-12-24 00:00:00,Trạm y tế phường xã 
Bình Tân,2016-10-04 00:00:00,PKCK Sản phụ khoa
Bình Thạnh,2014-03-18 00:00:00,PK đa khoa
Quận 1,2014-09-23 00:00:00,PKCK Phẫu thuật thẩm mỹ
Bình Chánh,2014-10-24 00:00:00,PKCK Răng Hàm Mặt
Bình Thạnh,2014-07-25 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2014-10-27 00:00:00,PKCK Nhi
Bình Thạnh,2015-04-17 00:00:00,PKCK Sản phụ khoa
TP. Thủ Đức,2014-02-25 00:00:00,PKCK Sản phụ khoa
TP. Thủ Đức,2014-06-17 00:00:00,PKCK Sản phụ khoa
Quận 7,2014-10-29 00:00:00,PKCK Phục hồi chức năng
Bình Tân,2013-12-06 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2014-11-18 00:00:00,PKCK Nhi
Quận 10,2015-11-11 00:00:00,PKCK Da liễu
Quận 8,2014-07-04 00:00:00,PKCK Răng Hàm Mặt
Gò Vấp,2013-12-13 00:00:00,PK Nội tổng hợp
Quận 1,2015-10-09 00:00:00,PKCK Răng Hàm Mặt
Quận 5,2014-05-05 00:00:00,PKCK Răng Hàm Mặt
Quận 4,2014-01-13 00:00:00,Bệnh viện đa khoa
Quận 6,2014-04-17 00:00:00,PKCK Sản phụ khoa
Quận 10,2015-12-02 00:00:00,PK đa khoa
Quận 5,2014-04-17 00:00:00,PKCK Sản phụ khoa
Gò Vấp,2014-07-11 00:00:00,PK Chẩn đoán hình ảnh
Tân Bình,2013-12-09 00:00:00,PKCK Răng Hàm Mặt
TP. Thủ Đức,2015-04-17 00:00:00,PKCK Nhi
Bình Tân,2014-10-27 00:00:00,PKCK Răng Hàm Mặt
TP. Thủ Đức,2013-12-17 00:00:00,PK Nội tổng hợp
Quận 10,2014-03-19 00:00:00,PKCK Phẫu thuật thẩm mỹ
Quận 12,2014-11-10 00:00:00,PKCK Răng Hàm Mặt
Bình Thạnh,2015-12-24 00:00:00,Trạm y tế phường xã 
TP. Thủ Đức,2014-04-18 00:00:00,PK Nội tổng hợp
Tân Bình,2016-08-26 00:00:00,PKCK Nhi
Hóc Môn,2015-12-24 00:00:00,Trạm y tế phường xã 
Tân Bình,2014-04-22 00:00:00,PKCK Phẫu thuật thẩm mỹ
Quận 10,2015-12-18 00:00:00,PKCK Lao và bệnh phổi
Quận 10,2014-08-13 00:00:00,PKCK Lao và bệnh phổi
Tân Bình,2014-03-18 00:00:00,PKCK Răng Hàm Mặt
Bình Thạnh,2014-08-13 00:00:00,PKCK Răng Hàm Mặt
Gò Vấp,2013-12-11 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2014-02-20 00:00:00,PKCK Răng Hàm Mặt
Tân Phú,2014-08-13 00:00:00,PK Nội tổng hợp
Quận 8,2015-10-15 00:00:00,PK Nội tổng hợp
Quận 1,2015-01-08 00:00:00,PKCK Nhi
TP. Thủ Đức,2014-10-31 00:00:00,PKCK Sản phụ khoa
Hóc Môn,2015-06-10 00:00:00,PKCK Răng Hàm Mặt
Gò Vấp,2013-12-12 00:00:00,PKCK Nhi
Bình Tân,2014-10-30 00:00:00,PKCK Răng Hàm Mặt
Quận 8,2015-08-04 00:00:00,PKCK Răng Hàm Mặt
TP. Thủ Đức,2014-10-23 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2014-11-26 00:00:00,PKCK Tai Mũi Họng
Quận 8,2014-03-19 00:00:00,PKCK Da liễu
Quận 10,2014-08-13 00:00:00,PKCK Da liễu
Tân Bình,2015-10-27 00:00:00,PKCK Sản phụ khoa
Tân Bình,2014-08-13 00:00:00,PKCK Răng Hàm Mặt
TP. Thủ Đức,2015-01-06 00:00:00,PKCK Răng Hàm Mặt
Quận 8,2015-11-11 00:00:00,PKCK Răng Hàm Mặt
Quận 11,2015-02-06 00:00:00,Phòng xét nghiệm
Hóc Môn,2014-08-13 00:00:00,PK Nội tổng hợp
Quận 3,2016-09-01 00:00:00,PKCK Da liễu
TP. Thủ Đức,2014-05-05 00:00:00,PKCK Nhi
TP. Thủ Đức,2014-06-17 00:00:00,PKCK Ngoại
Quận 8,2014-04-21 00:00:00,PKCK Da liễu
Quận 1,2014-02-20 00:00:00,PKCK Răng Hàm Mặt
Quận 7,2014-07-14 00:00:00,PKCK Răng Hàm Mặt
Củ Chi,2013-12-17 00:00:00,PK Nội tổng hợp
Gò Vấp,2013-12-11 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2017-06-27 00:00:00,PKCK Tai Mũi Họng
Tân Phú,2015-02-10 00:00:00,PKCK Ngoại
Quận 11,2013-12-16 00:00:00,PK đa khoa
Tân Phú,2014-02-11 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2014-05-30 00:00:00,PK Nội tổng hợp
Gò Vấp,2016-07-18 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 1,2014-04-22 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 10,2014-09-22 00:00:00,PK Nội tổng hợp
Quận 5,2015-12-28 00:00:00,PKCK Răng Hàm Mặt
Phú Nhuận,2014-05-21 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 8,2014-02-20 00:00:00,PKCK Răng Hàm Mặt
Quận 6,2014-02-12 00:00:00,PKCK Răng Hàm Mặt
Quận 4,2013-11-29 00:00:00,PKCK Nhi
Quận 3,2015-09-11 00:00:00,PKCK Lao và bệnh phổi
Quận 1,2014-05-08 00:00:00,PKCK Sản phụ khoa
Bình Tân,2015-12-08 00:00:00,PKCK Sản phụ khoa
Gò Vấp,2014-05-06 00:00:00,PKCK Ung bướu
Phú Nhuận,2015-12-02 00:00:00,PKCK Ung bướu
Quận 1,2014-05-08 00:00:00,PKCK Răng Hàm Mặt
Quận 3,2013-11-25 00:00:00,PKCK Mắt
Quận 6,2014-04-24 00:00:00,PKCK Ngoại nhi
Quận 10,2014-03-24 00:00:00,PKCK Nhi
Bình Thạnh,2014-05-06 00:00:00,PKCK Ung bướu
Quận 5,2014-04-22 00:00:00,PK Chẩn đoán hình ảnh
Nhà Bè,2015-10-27 00:00:00,PKCK Sản phụ khoa
Quận 10,2015-08-20 00:00:00,PKCK Tâm thần
Bình Tân,2015-04-01 00:00:00,PK Nội tổng hợp
Quận 11,2014-07-14 00:00:00,PKCK Ngoại nhi
Quận 1,2014-08-13 00:00:00,PKCK Ung bướu
Bình Thạnh,2015-06-10 00:00:00,Phòng xét nghiệm
Bình Thạnh,2015-12-25 00:00:00,Phòng xét nghiệm
Quận 11,2014-05-05 00:00:00,PKCK Nhi
Bình Thạnh,2014-01-10 00:00:00,Bệnh viện đa khoa
Gò Vấp,2014-09-22 00:00:00,PKCK Nội thần kinh
Hóc Môn,2015-07-24 00:00:00,PK Nội tổng hợp
Quận 12,2013-12-17 00:00:00,PK Nội tổng hợp
Quận 10,2014-04-21 00:00:00,PKCK Lao và bệnh phổi
TP. Thủ Đức,2017-05-09 00:00:00,PKCK Răng Hàm Mặt
Quận 11,2015-01-06 00:00:00,PKCK Ngoại lồng ngực
Quận 10,2017-05-15 00:00:00,PKCK Răng Hàm Mặt
Quận 5,2014-10-23 00:00:00,PKCK Răng Hàm Mặt
Quận 10,2014-02-11 00:00:00,PKCK Sản phụ khoa
Quận 12,2013-12-03 00:00:00,PKCK Nhi
Quận 3,2014-02-12 00:00:00,PKCK Sản phụ khoa
Bình Tân,2014-10-08 00:00:00,Phòng chẩn trị y học cổ truyền
Bình Tân,2014-03-19 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 6,2015-11-16 00:00:00,PKCK Răng Hàm Mặt
Quận 10,2014-09-22 00:00:00,PKCK Phẫu thuật thẩm mỹ
Quận 7,2014-02-11 00:00:00,PKCK Nhi
Quận 7,2015-06-29 00:00:00,PKCK Ngoại nhi
Gò Vấp,2014-07-25 00:00:00,PK Nội tổng hợp
Quận 10,2014-10-27 00:00:00,PKCK Răng Hàm Mặt
Quận 10,2014-03-20 00:00:00,PKCK Nhi
Quận 8,2013-12-16 00:00:00,PKCK Sản phụ khoa
Bình Chánh,2015-01-14 00:00:00,PKCK Sản phụ khoa
Quận 12,2014-02-13 00:00:00,PK Chẩn đoán hình ảnh
TP. Thủ Đức,2014-10-23 00:00:00,PK Nội tổng hợp
Quận 6,2014-02-12 00:00:00,PKCK Răng Hàm Mặt
Quận 6,2014-02-12 00:00:00,PKCK Nhi
Gò Vấp,2014-08-13 00:00:00,PKCK Chấn thương chỉnh hình 
Bình Thạnh,2015-08-20 00:00:00,PKCK Nhi
Bình Tân,2015-12-08 00:00:00,PK Nội tổng hợp
Gò Vấp,2014-01-22 00:00:00,Phòng chẩn trị y học cổ truyền
Bình Thạnh,2015-07-24 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 11,2014-07-25 00:00:00,PKCK Răng Hàm Mặt
TP. Thủ Đức,2015-04-01 00:00:00,"Cơ sở dịch vụ tiêm (chích), thay băng, đếm mạch, đo nhiệt độ, đo huyết áp"
TP. Thủ Đức,2015-06-10 00:00:00,PK đa khoa
Củ Chi,2014-10-08 00:00:00,Phòng chẩn trị y học cổ truyền
Bình Thạnh,2014-04-21 00:00:00,Phòng chẩn trị y học cổ truyền
Bình Chánh,2014-04-22 00:00:00,Phòng chẩn trị y học cổ truyền
Phú Nhuận,2014-04-15 00:00:00,PK Nội tổng hợp
Quận 1,2015-09-07 00:00:00,PKCK Nhi
Gò Vấp,2014-04-22 00:00:00,PK Nội tổng hợp
Quận 12,2014-07-04 00:00:00,PKCK Nhi
TP. Thủ Đức,2013-12-06 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 8,2013-11-07 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 7,2014-06-03 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 8,2015-09-07 00:00:00,PKCK Răng Hàm Mặt
TP. Thủ Đức,2017-09-29 00:00:00,PKCK Răng Hàm Mặt
Quận 8,2014-04-17 00:00:00,PKCK Răng Hàm Mặt
Bình Thạnh,2015-09-14 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 8,2014-04-22 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 10,2014-02-13 00:00:00,PKCK Tai Mũi Họng
Phú Nhuận,2015-10-23 00:00:00,PKCK Nhi
Quận 7,2014-03-18 00:00:00,PKCK Răng Hàm Mặt
Quận 8,2015-12-24 00:00:00,Trạm y tế phường xã 
Tân Bình,2017-06-13 00:00:00,PKCK Răng Hàm Mặt
Quận 5,2014-03-18 00:00:00,PK Nội tổng hợp
Quận 10,2014-03-24 00:00:00,PKCK Phẫu thuật thẩm mỹ
Quận 3,2015-08-19 00:00:00,Phòng xét nghiệm
Quận 1,2014-03-19 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2014-08-13 00:00:00,PKCK Răng Hàm Mặt
Quận 10,2014-04-21 00:00:00,PKCK Phẫu thuật thẩm mỹ
Quận 10,2015-12-24 00:00:00,Trạm y tế phường xã 
Quận 5,2015-08-04 00:00:00,PK đa khoa
Quận 6,2014-04-18 00:00:00,PKCK Răng Hàm Mặt
Gò Vấp,2014-01-13 00:00:00,Bệnh viện đa khoa
Gò Vấp,2014-04-15 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2014-04-17 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2014-10-27 00:00:00,PKCK Răng Hàm Mặt
Bình Chánh,2015-04-21 00:00:00,PK Nội tổng hợp
Tân Bình,2015-01-06 00:00:00,PKCK Răng Hàm Mặt
Quận 10,2015-10-29 00:00:00,PKCK Răng Hàm Mặt
Hóc Môn,2014-12-18 00:00:00,PK Nội tổng hợp
Quận 3,2014-04-18 00:00:00,PK Nội tổng hợp
Quận 10,2014-11-26 00:00:00,PKCK Chấn thương chỉnh hình 
Tân Bình,2014-09-22 00:00:00,PK Nội tổng hợp
Bình Tân,2014-07-17 00:00:00,PKCK Da liễu
Tân Bình,2014-07-14 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2016-08-04 00:00:00,PKCK Phẫu thuật thẩm mỹ
Tân Bình,2014-03-18 00:00:00,PK Nội tổng hợp
Bình Thạnh,2014-01-13 00:00:00,Bệnh viện đa khoa
Hóc Môn,2017-05-08 00:00:00,PK Nội tổng hợp
Quận 3,2014-02-17 00:00:00,PKCK Chấn thương chỉnh hình 
Quận 7,2014-09-23 00:00:00,PKCK Răng Hàm Mặt
Quận 5,2014-04-22 00:00:00,PKCK Sản phụ khoa
Tân Bình,2015-08-12 00:00:00,"Cơ sở dịch vụ tiêm (chích), thay băng, đếm mạch, đo nhiệt độ, đo huyết áp"
Tân Bình,2015-12-08 00:00:00,PKCK Phẫu thuật thẩm mỹ
Tân Phú,2014-12-17 00:00:00,PK đa khoa
Quận 1,2014-05-06 00:00:00,PKCK Phẫu thuật thẩm mỹ
Bình Thạnh,2015-07-10 00:00:00,PK đa khoa
Quận 1,2014-04-26 00:00:00,PKCK Sản phụ khoa
Hóc Môn,2014-03-19 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2013-12-06 00:00:00,PK Nội tổng hợp
Quận 11,2014-04-22 00:00:00,PKCK Răng Hàm Mặt
Quận 3,2014-02-25 00:00:00,PKCK Răng Hàm Mặt
Quận 8,2015-01-06 00:00:00,PK Nội tổng hợp
Hóc Môn,2015-08-20 00:00:00,PK Nội tổng hợp
Gò Vấp,2014-05-06 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2014-10-30 00:00:00,PKCK Lao và bệnh phổi
Gò Vấp,2014-09-23 00:00:00,PKCK Lao và bệnh phổi
Nhà Bè,2014-04-17 00:00:00,Phòng xét nghiệm
Tân Bình,2014-04-22 00:00:00,PKCK Răng Hàm Mặt
Quận 11,2014-05-05 00:00:00,PKCK Răng Hàm Mặt
Quận 10,2014-04-15 00:00:00,PKCK Răng Hàm Mặt
Gò Vấp,2014-03-25 00:00:00,PKCK Răng Hàm Mặt
Quận 6,2014-07-14 00:00:00,PK Nội tổng hợp
Củ Chi,2014-01-13 00:00:00,Bệnh viện đa khoa
Quận 10,2014-07-04 00:00:00,PKCK Da liễu
Bình Tân,2015-03-04 00:00:00,PK Nội tổng hợp
Tân Bình,2015-02-11 00:00:00,PK đa khoa
Quận 10,2014-02-20 00:00:00,PKCK Chấn thương chỉnh hình 
Tân Phú,2015-05-04 00:00:00,PK Chẩn đoán hình ảnh
Hóc Môn,2014-07-24 00:00:00,Phòng chẩn trị y học cổ truyền
Bình Thạnh,2014-04-22 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 3,2015-10-23 00:00:00,PKCK Tâm thần
Quận 1,2014-06-04 00:00:00,PKCK Ung bướu
Quận 5,2014-12-19 00:00:00,PK Nội tổng hợp
Quận 3,2015-09-11 00:00:00,PKCK Phẫu thuật thẩm mỹ
Quận 6,2013-11-25 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2015-08-14 00:00:00,PK Nội tổng hợp
Hóc Môn,2015-07-31 00:00:00,PK Chẩn đoán hình ảnh
Quận 4,2014-07-17 00:00:00,PK Nội tổng hợp
Quận 7,2014-07-14 00:00:00,PKCK Nhi
Bình Thạnh,2013-11-29 00:00:00,PKCK Nhi
Củ Chi,2014-06-13 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2015-12-30 00:00:00,Trạm y tế phường xã 
Tân Bình,2015-12-02 00:00:00,PKCK Răng Hàm Mặt
Quận 12,2014-09-22 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2015-11-16 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2015-09-25 00:00:00,PKCK Da liễu
Tân Phú,2014-06-13 00:00:00,PKCK Chấn thương chỉnh hình 
Tân Bình,2014-02-12 00:00:00,PKCK Nội tiết
Tân Bình,2013-12-12 00:00:00,PK Nội tổng hợp
Hóc Môn,2015-09-25 00:00:00,PKCK Nội tiết
Bình Thạnh,2014-05-15 00:00:00,PK Nội tổng hợp
Quận 5,2015-12-28 00:00:00,PK đa khoa
Quận 11,2016-07-08 00:00:00,PK Nội tổng hợp
Quận 12,2014-08-13 00:00:00,PK Nội tổng hợp
Tân Bình,2014-07-14 00:00:00,PK Nội tổng hợp
Tân Bình,2014-07-17 00:00:00,PKCK Nội thần kinh
Bình Tân,2014-10-23 00:00:00,PKCK Ngoại
Quận 6,2015-05-29 00:00:00,PKCK Da liễu
TP. Thủ Đức,2014-10-29 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2014-03-18 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2014-08-13 00:00:00,PKCK Răng Hàm Mặt
Quận 6,2014-09-24 00:00:00,PK Nội tổng hợp
Bình Thạnh,2014-04-25 00:00:00,PK Chẩn đoán hình ảnh
Quận 8,2014-05-19 00:00:00,Bệnh viện chuyên khoa
Gò Vấp,2014-05-05 00:00:00,PK Nội tổng hợp
Bình Tân,2014-08-13 00:00:00,PK Nội tổng hợp
Quận 6,2013-11-25 00:00:00,PKCK Nội thần kinh
Quận 10,2014-08-13 00:00:00,PKCK Nội thần kinh
Tân Bình,2013-12-11 00:00:00,PK Nội tổng hợp
Nhà Bè,2013-12-11 00:00:00,PK Nội tổng hợp
Quận 10,2014-05-15 00:00:00,PK Nội tổng hợp
Gò Vấp,2014-05-30 00:00:00,PK Chẩn đoán hình ảnh
Quận 1,2015-12-04 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 8,2015-09-28 00:00:00,PK Nội tổng hợp
Tân Phú,2015-12-29 00:00:00,Trạm y tế phường xã 
Quận 10,2015-10-09 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 10,2014-03-19 00:00:00,Phòng chẩn trị y học cổ truyền
Bình Thạnh,2015-03-04 00:00:00,Phòng chẩn trị y học cổ truyền
Gò Vấp,2014-04-22 00:00:00,PKCK Chấn thương chỉnh hình 
Quận 3,2014-10-30 00:00:00,PK Nội tổng hợp
Quận 5,2014-07-14 00:00:00,PKCK Chấn thương chỉnh hình 
Quận 1,2014-06-09 00:00:00,PKCK Chấn thương chỉnh hình 
Quận 11,2014-06-09 00:00:00,PKCK Ung bướu
Bình Thạnh,2014-04-17 00:00:00,PKCK Ung bướu
Bình Thạnh,2013-12-16 00:00:00,PKCK Ung bướu
Quận 5,2015-05-04 00:00:00,PKCK Phục hồi chức năng
Bình Tân,2014-06-04 00:00:00,PK Nội tổng hợp
Phú Nhuận,2014-09-22 00:00:00,PKCK Răng Hàm Mặt
Bình Tân,2014-11-18 00:00:00,PK đa khoa
Quận 10,2015-08-26 00:00:00,PKCK Ung bướu
Quận 11,2014-06-04 00:00:00,PKCK Ung bướu
Bình Thạnh,2015-06-10 00:00:00,Phòng xét nghiệm
TP. Thủ Đức,2014-10-22 00:00:00,PKCK Tai Mũi Họng
Quận 7,2015-08-19 00:00:00,PK Nội tổng hợp
Phú Nhuận,2015-12-21 00:00:00,Trạm y tế phường xã 
Quận 1,2014-05-06 00:00:00,PKCK Nhi
Tân Phú,2014-02-12 00:00:00,PKCK Nhi
Quận 7,2014-02-12 00:00:00,PKCK Nhi
Quận 11,2014-05-30 00:00:00,PKCK Nhi
Quận 11,2014-09-23 00:00:00,PK Nội tổng hợp
Bình Thạnh,2014-06-04 00:00:00,PK Nội tổng hợp
Bình Thạnh,2014-05-05 00:00:00,PK Nội tổng hợp
