LOAIHINHHN,PHAMVIHN,DUONG,PHUONG,QUAN,CVXLCCHN,NGCAPCCHN,NOICAPCCHN,GPP_GDP_GSP,NGAYCAPGCN,NGAYHHGCN
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","267, Lê Văn Lương",Phường Tân Quy,Quận 7,Ds Trần Thị Như Thủy,2017-08-03,Sở Y tế TP.HCM,GPP,2023-06-12,12/06/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","1/69K, đường 2, khu phố 1",Phường Tăng Nhơn Phú B,TP. Thủ Đức,Ds. Trương Việt Cường,2022-01-17,Sở Y tế TP.HCM,GPP,2022-11-11,11/11/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 928, đường Quốc Lộ 22, Ấp Phước Lộc",Xã Phước Thạnh,Củ Chi,Ds. Bùi Thanh Nguyệt,2021-12-20,Sở Y tế TP.HCM,GPP,2022-11-28,28/11/2022
nhà thuốc,bán thuốc trừ vắc xin,"81, Đinh Tiên Hoàng",Phường 03,Bình Thạnh,Ds Lê Thị Thu Hòa,2014-05-26,Sở Y tế TP.HCM,GPP,2017-07-01,01/07/2020
nhà thuốc,bán thuốc trừ vắc xin,"472, Hưng Phú",Phường 09,Quận 8,Ds Trần Minh Trí,2015-05-06,Sở Y tế TP.HCM,GPP,2017-07-01,01/07/2020
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm",138 Hoàng Đạo Thúy,Phường 07,Quận 8,Bùi Hùng Cường,2024-03-07,Sở Y tế TP.HCM,GPP,2024-07-19,20/07/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","09, Đường Nguyễn Đình Khơi",Phường 04,Tân Bình,Ds Phạm Văn Sơn,2016-08-16,Sở Y tế TP.HCM,GPP,2022-12-13,13/12/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 83, đường Vành Đai Tây, Khu phố 4",Phường An Khánh,TP. Thủ Đức,Ds. Nguyễn Thị Kim Ngân,2022-01-17,Sở Y tế TP.HCM,GPP,2023-11-30,30/11/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","643, Cách Mạng Tháng Tám",Phường 15,Quận 10,Ds Nguyễn Thị Kim Ngân,2013-12-31,Sở Y tế TP.HCM,GPP,2023-12-12,12/12/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","24C, Đường Số 365, Ấp Mũi Lớn 1",Xã Tân An Hội,Củ Chi,Ds. Bùi Hùng Cường,2023-02-20,Sở Y tế TP.HCM,GPP,2023-09-06,06/09/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","72, đường số 4, ấp 1",Xã Vĩnh Lộc B,Bình Chánh,,2022-04-12,Sở Y tế Tỉnh Đồng Nai,GPP,2023-04-26,26/04/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","F12/19 E, Quách Điêu, Ấp 6",Xã Vĩnh Lộc A,Bình Chánh,,2013-07-08,Sở Y tế Tỉnh An Giang,GPP,2022-12-05,05/12/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","49, Đường số 14",Phường Bình Hưng Hòa A,Bình Tân,Nguyễn Thị Kim Ngân,2024-03-01,Sở Y tế TP.HCM,GPP,2024-04-15,15/04/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","200B, Hậu Giang",Phường 06,Quận 6,Ds Bùi Thanh Nguyệt,2013-08-16,Sở Y tế TP.HCM,GPP,2023-11-21,21/11/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","77/4, Ấp Tân Tiến",Xã Xuân Thới Đông,Hóc Môn,Ds. Trương Việt Cường,2017-12-22,Sở Y tế TP.HCM,GPP,2023-11-14,14/11/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền","15/9A, Phạm Hùng",Phường 04,Quận 8,Ds. Nguyễn Thị Kim Ngân,2018-03-12,Sở Y tế TP.HCM,GPP,2022-11-21,21/11/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","11, Nguyễn Văn Tạo, Ấp 2",Xã Long Thới,Nhà Bè,Ds. Bùi Hùng Cường,2022-02-22,Sở Y tế TP.HCM,GPP,2022-12-01,01/12/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 3, Thuận Kiều",Phường 12,Quận 5,Ds. Lê Thị Minh Thảo,2017-11-03,Sở Y tế TP.HCM,GPP,2024-01-03,03/01/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","153, Lã Xuân Oai, Khu phố 2",Phường Tăng Nhơn Phú A,TP. Thủ Đức,,2017-01-10,Sở Y tế Tỉnh Hà Tĩnh,GPP,2018-11-22,22/11/2021
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","A6/34A1, ấp 1A",Xã Vĩnh Lộc A,Bình Chánh,,2014-05-23,Sở Y tế Tỉnh Đồng Tháp,GPP,2020-10-06,06/10/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","số 1476, Tỉnh lộ 8, ấp 12",Xã Tân Thạnh Đông,Củ Chi,,2018-03-16,Sở Y tế TP. Cần Thơ,GPP,2023-06-30,30/06/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","12C, Đường 18B, Ấp 4",Xã Bình Chánh,Bình Chánh,Ds Lê Thị Minh Thảo,2016-07-18,Sở Y tế TP.HCM,GPP,2023-06-12,12/06/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","251, Gò Xoài",Phường Bình Hưng Hòa A,Bình Tân,,2014-01-15,Sở Y tế Tỉnh Đồng Nai,GPP,2024-04-17,17/04/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","244, HT17, Tổ 23F, Khu phố 2",Phường Hiệp Thành,Quận 12,Ds. Lê Thị Minh Thảo,2019-10-18,Sở Y tế TP.HCM,GPP,2023-08-15,15/08/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Shophouse SII06 Q7 Sài Gòn Riverside Complex, Số 4, Đào Trí",Phường Phú Thuận,Quận 7,Ds. Trần Minh Trí,2019-11-21,Sở Y tế TP.HCM,GPP,2023-06-14,14/06/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 68, Đường số 26",Phường 11,Quận 6,Ds Phạm Văn Sơn,2014-07-28,Sở Y tế TP.HCM,GPP,2024-04-19,19/04/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","96, Lý Thường Kiệt",Phường 07,Gò Vấp,Ds. Trần Minh Trí,2023-01-18,Sở Y tế TP.HCM,GPP,2023-08-30,30/08/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm",1812 Vĩnh Lộc,Xã Vĩnh Lộc B,Bình Chánh,Bùi Hùng  Cường,2021-01-15,Sở Y tế TP.HCM,GPP,2024-07-02,03/07/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 85, đường Nguyễn Tư Nghiêm",Phường Bình Trưng Tây,TP. Thủ Đức,Ds. Lê Thị Minh Thảo,2020-11-27,Sở Y tế TP.HCM,GPP,2024-02-27,27/02/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","478, Tỉnh lộ 10, Khu phố 15",Phường Bình Trị Đông,Bình Tân,Ds Lê Thị Thu Hòa,2014-05-26,Sở Y tế TP.HCM,GPP,2023-10-25,25/10/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 74, đường Phạm Thị Lòng, Ấp Thạnh An",Xã Trung An,Củ Chi,Ds. Trương Việt Cường,2022-03-21,Sở Y tế TP.HCM,GPP,2022-06-28,28/06/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","109/4G, Trịnh Thị Miếng, Ấp Tam Đông",Xã Thới Tam Thôn,Hóc Môn,Ds. Bùi Hùng Cường,2021-10-27,Sở Y tế TP.HCM,GPP,2022-02-17,17/02/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","139, Ấp 2",Xã Xuân Thới Thượng,Hóc Môn,Ds. Phạm Văn Sơn,2017-09-20,Sở Y tế TP.HCM,GPP,2024-01-05,05/01/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","26, Bùi Dương Lịch, Khu phố 1",Phường Bình Hưng Hòa B,Bình Tân,Ds. Nguyễn Huy Hùng,2020-04-08,Sở Y tế TP.HCM,GPP,2023-08-28,28/08/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","166, Dương Văn Dương",Phường Tân Quý,Tân Phú,Ds. Bùi Thanh Nguyệt,2022-06-29,Sở Y tế TP.HCM,GPP,2022-12-21,21/12/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","1594, Phạm Thế Hiển",Phường 06,Quận 8,Ds. Thái Thanh Tú,2023-09-13,Sở Y tế TP.HCM,GPP,2023-12-12,12/12/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","6A, Lâm Văn Bền",Phường Tân Thuận Tây,Quận 7,,2013-07-16,Sở Y tế TP.HCM,GPP,2020-11-27,
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","92, Đường số 2",Phường Bình Hưng Hòa B,Bình Tân,Ds Trần Thị Như Thủy,2014-12-30,Sở Y tế TP.HCM,GPP,2023-08-14,14/08/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","B2/57C, Ấp 2",Xã Phong Phú,Bình Chánh,Ds Trần Minh Trí,2014-12-18,Sở Y tế TP.HCM,GPP,2023-11-14,14/11/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","180, Hồ Văn Long, Khu phố 1",Phường Bình Hưng Hòa B,Bình Tân,,2020-12-21,Sở Y tế Tỉnh Đồng Tháp,GPP,2021-12-03,03/12/2024
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm",173 Nguyễn Xí,Phường 26,Bình Thạnh,,2022-09-23,Sở Y tế tỉnh Bình Dương,GPP,2024-09-05,06/09/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","007 Lô A, Chung cư Sư Vạn Hạnh",Phường 09,Quận 5,Ds Trương Việt Cường,2016-05-23,Sở Y tế TP.HCM,GPP,2021-03-15,
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","108, Lạc Long Quân",Phường 03,Quận 11,Ds. Tô Văn Minh,2017-07-28,Sở Y tế TP.HCM,GPP,2023-10-18,18/10/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","78, Đường Thới Tam Thôn 17, ấp Đông 1",Xã Thới Tam Thôn,Hóc Môn,,2023-05-04,Sở Y tế Tỉnh Đồng Nai,GPP,2023-08-10,10/08/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","số 65, Hùng Vương",Phường 04,Quận 5,Ds. Nguyễn Thị Kim Ngân,2017-12-07,Sở Y tế TP.HCM,GPP,2023-04-26,26/04/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","238, Đường 26/3",Phường Bình Hưng Hòa,Bình Tân,Ds. Lê Thị Minh Thảo,2019-06-10,Sở Y tế TP.HCM,GPP,2023-01-18,18/01/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","14/154/3C, Phạm Hùng, Ấp 4",Xã Bình Hưng,Bình Chánh,,2015-09-01,Sở Y tế Tỉnh Đồng Tháp,GPP,2023-12-12,12/12/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","40/9, Nguyễn Văn Đậu",Phường 06,Bình Thạnh,Ds Trương Việt Cường,2015-10-30,Sở Y tế TP.HCM,GPP,2022-05-16,16/05/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm",137 LÊ VĂN THỌ,Phường 08,Gò Vấp,Lê Huỳnh Thùy Dung,2024-03-11,Sở Y tế TP.HCM,GPP,2024-09-25,26/09/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 446, đường Liên Phường",Phường Phước Long B,TP. Thủ Đức,Ds Lê Thị Thu Hòa,2014-03-28,Sở Y tế TP.HCM,GPP,2024-03-21,21/03/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","K29, Chợ Đầu Mối, Khu phố 5",Phường Tam Bình,TP. Thủ Đức,,2017-12-27,Sở Y tế TP. Hà Nội,GPP,2021-01-19,19/01/2024
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 203A, Tỉnh lộ 2, tổ 3, ấp 3",Xã Phước Vĩnh An,Củ Chi,,2014-12-26,Sở Y tế Tỉnh Bến Tre,GPP,2021-11-29,29/11/2024
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","68C, Tây Lân, khu phố 7",Phường Bình Trị Đông A,Bình Tân,Ds. Trần Minh Trí,2018-11-06,Sở Y tế TP.HCM,GPP,2022-02-25,25/02/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","603/5B, Vườn Lài, Tổ 32, Khu phố 2",Phường An Phú Đông,Quận 12,,2022-05-23,Sở Y tế Tỉnh Đồng Nai,GPP,2023-01-11,11/01/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","248/11 (HG), Ấp 1",Xã Hiệp Phước,Nhà Bè,Ds. Nguyễn Trần Công Huân,2023-11-08,Sở Y tế TP.HCM,GPP,2024-01-03,03/01/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","166, Hòa Hưng",Phường 13,Quận 10,Ds. Nguyễn Thị Kim Ngân,2023-06-27,Sở Y tế TP.HCM,GPP,2024-01-15,15/01/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm",184 Lê Thúc Hoạch,Phường Tân Quý,Tân Phú,Trương Việt  Cường,2024-04-19,Sở Y tế TP.HCM,GPP,2024-07-02,03/07/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","560, Hồng Bàng",Phường 16,Quận 11,Ds Nguyễn Thị Kim Ngân,2019-09-25,Sở Y tế TP.HCM,GPP,2023-08-28,28/08/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm",957 Trần Hưng Đạo,Phường 01,Quận 5,Ds Bùi Thanh Nguyệt,2016-02-16,Sở Y tế TP.HCM,GPP,2024-08-14,15/08/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","272, Nguyễn Văn Công",Phường 03,Gò Vấp,Ds Trần Thị Như Thủy,2013-08-12,Sở Y tế TP.HCM,GPP,2023-12-12,12/12/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","186, Gò Xoài",Phường Bình Hưng Hòa A,Bình Tân,Ds. Trần Minh Trí,2023-03-01,Sở Y tế TP.HCM,GPP,2023-12-21,21/12/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","35, Đường số 4, Khu phố 8",Phường Bình Hưng Hòa A,Bình Tân,Ds. Trương Việt Cường,2022-12-01,Sở Y tế TP.HCM,GPP,2023-06-12,12/06/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","10, Nguyễn Hữu Tiến",Phường Tây Thạnh,Tân Phú,Ds. Lê Thị Minh Thảo,2023-02-23,Sở Y tế TP.HCM,GPP,2023-06-08,08/06/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","1019, Nguyễn Duy Trinh",Phường Phú Hữu,TP. Thủ Đức,,2023-04-07,Sở Y tế Tỉnh Bình Dương,GPP,2023-10-09,09/10/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 1337, Tỉnh lộ 15, Ấp An Hòa",Xã An Phú,Củ Chi,,2021-03-18,Sở Y tế Tỉnh Kiên Giang,GPP,2022-06-23,23/06/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","54B, Quang Trung, Khu phố 5",Phường Tăng Nhơn Phú B,TP. Thủ Đức,Ds. Trần Minh Trí,2023-06-06,Sở Y tế TP.HCM,GPP,2023-08-09,09/08/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 12, Đường số 3, Khu phố 6",Phường Trường Thọ,TP. Thủ Đức,Ds Trần Minh Trí,2017-02-15,Sở Y tế TP.HCM,GPP,2022-10-27,
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","434, Bình Lợi",Phường 13,Bình Thạnh,Ds Lê Thị Thu Hòa,2013-09-05,Sở Y tế TP.HCM,GPP,2023-07-20,20/07/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 153, Tỉnh lộ 15, Ấp 1",Xã Tân Thạnh Tây,Củ Chi,,2022-04-25,Sở Y tế Tỉnh Đồng Nai,GPP,2022-07-04,04/07/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","55, Thăng Long",Phường 04,Tân Bình,Ds Phạm Văn Sơn,2016-08-16,Sở Y tế TP.HCM,GPP,2022-12-28,28/12/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","7A/29, Thành Thái",Phường 14,Quận 10,Ds. Trương Việt Cường,2018-01-04,Sở Y tế TP.HCM,GPP,2018-11-30,30/11/2021
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Tầng trệt, Block C, Chung cư Lê Thành, khu phố 2",Phường Tân Tạo,Bình Tân,Ds Trần Thị Như Thủy,2016-04-25,Sở Y tế TP.HCM,GPP,2022-11-21,21/11/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","304, Bùi Văn Ngữ, Ấp Đông",Xã Thới Tam Thôn,Hóc Môn,Ds Phạm Văn Sơn,2014-07-28,Sở Y tế TP.HCM,GPP,2024-01-08,08/01/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","B14/2Z/1Z, Ấp 2C",Xã Vĩnh Lộc B,Bình Chánh,Ds. Trương Việt Cường,2021-04-22,Sở Y tế TP.HCM,GPP,2021-10-29,29/10/2024
nhà thuốc,bán thuốc trừ vắc xin,"235, đường số 29, KP1",Phường Bình Trị Đông B,Bình Tân,Ds Bùi Thanh Nguyệt,2017-01-16,Sở Y tế TP.HCM,GPP,2015-06-25,25/06/2018
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","008 Lô D, Chung cư Hùng Vương",Phường 11,Quận 5,Ds. Trần Minh Trí,2020-11-16,Sở Y tế TP.HCM,GPP,2024-03-13,13/03/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","315, Lê Trọng Tấn",Phường Sơn Kỳ,Tân Phú,Ds. Lê Thị Minh Thảo,2023-07-13,Sở Y tế TP.HCM,GPP,2023-10-18,18/10/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","B5/15J, Trần Đại Nghĩa, ấp 2",Xã Tân Kiên,Bình Chánh,Ds. Bùi Thanh Nguyệt,2021-05-27,Sở Y tế TP.HCM,GPP,2023-11-03,03/11/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 420, đường Lê Văn Việt",Phường Tăng Nhơn Phú A,TP. Thủ Đức,,2023-06-21,Sở Y tế Tỉnh Đồng Nai,GPP,2023-12-22,10/11/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","892, Nguyễn Duy Trinh",Phường Phú Hữu,TP. Thủ Đức,,2015-10-07,Sở Y tế Tỉnh Trà Vinh,GPP,2019-09-11,11/09/2022
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","43, Đường số 5",Phường Bình Hưng Hòa A,Bình Tân,Ds. Nguyễn Huy Hùng,2022-04-07,Sở Y tế TP.HCM,GPP,2023-03-15,15/03/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","44F, Đường số 8, khu phố 3",Phường Trường Thọ,TP. Thủ Đức,,2024-01-22,Sở Y tế Tỉnh Đồng Tháp,GPP,2024-04-09,09/04/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","235, Đường số 29",Phường Bình Trị Đông B,Bình Tân,Lê Huỳnh Thùy Dung,2023-12-18,Sở Y tế TP.HCM,GPP,2024-03-19,19/03/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","A6/1, Ấp 1",Xã Vĩnh Lộc A,Bình Chánh,,2013-12-26,Sở Y tế Tỉnh Bến Tre,GPP,2022-04-15,15/04/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","1023, Cách Mạng Tháng Tám",Phường 07,Tân Bình,Ds Lê Thị Thu Hòa,2014-03-14,Sở Y tế TP.HCM,GPP,2023-11-10,10/11/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","31/14B, Dương Công Khi, Ấp 4",Xã Xuân Thới Sơn,Hóc Môn,Ds. Nguyễn Trần Công Huân,2020-12-16,Sở Y tế TP.HCM,GPP,2021-11-08,08/11/2024
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 13, Đường Trần Não, Khu phố 2",Phường An Khánh,TP. Thủ Đức,,2022-08-08,Sở Y tế Tỉnh Đồng Nai,GPP,2023-06-12,12/06/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","số 201A, Tạ Quang Bửu",Phường 03,Quận 8,Ds Trương Việt Cường,2015-01-22,Sở Y tế TP.HCM,GPP,2023-04-21,21/04/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","41, Bạch Vân",Phường 05,Quận 5,Ds Trần Minh Trí,2015-11-23,Sở Y tế TP.HCM,GPP,2023-07-28,28/07/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","1411/3C, APĐ03, tổ 41, Khu phố 3",Phường An Phú Đông,Quận 12,,2023-01-13,Sở Y tế Tỉnh Đồng Nai,GPP,2024-01-19,19/01/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","874/27, Đoàn Văn Bơ",Phường 18,Quận 4,Ds. Bùi Thanh Nguyệt,2023-03-06,Sở Y tế TP.HCM,GPP,2023-08-15,15/08/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","48, Đường số 17, khu phố 3",Phường Hiệp Bình Chánh,TP. Thủ Đức,Ds. Trương Việt Cường,2022-02-25,Sở Y tế TP.HCM,GPP,2022-11-21,21/11/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","124, đường số 8, khu phố 3",Phường Linh Xuân,TP. Thủ Đức,Ds Trương Việt Cường,2013-11-26,Sở Y tế TP.HCM,GPP,2016-12-27,27/12/2019
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","C11/34, Đinh Đức Thiện, Ấp 3",Xã Bình Chánh,Bình Chánh,,2014-07-28,Sở Y tế Tỉnh Vĩnh Long,GPP,2024-02-05,05/02/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 518Bis, Lê Văn Sỹ",Phường 14,Quận 3,Ds. Nguyễn Trần Công Huân,2020-12-04,Sở Y tế TP.HCM,GPP,2023-03-01,01/03/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","107, Hồ Học Lãm",Phường An Lạc,Bình Tân,Ds. Nguyễn Huy Hùng,2022-05-11,Sở Y tế TP.HCM,GPP,2022-11-24,24/11/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 53, Quốc Hương",Phường Thảo Điền,TP. Thủ Đức,Ds. Trần Minh Trí,2023-01-03,Sở Y tế TP.HCM,GPP,2023-04-10,10/04/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","73, TTH20, khu phố 1",Phường Tân Thới Hiệp,Quận 12,,2022-12-23,Sở Y tế Tỉnh An Giang,GPP,2023-12-21,21/12/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","169, Lê Văn Lương",Phường Tân Kiểng,Quận 7,Ds. Bùi Hùng Cường,2022-06-06,Sở Y tế TP.HCM,GPP,2023-02-10,10/02/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","C8A/20A, Ấp 3A",Xã Vĩnh Lộc B,Bình Chánh,Ds. Nguyễn Thị Kim Ngân,2022-11-07,Sở Y tế TP.HCM,GPP,2023-03-28,28/03/2026
